;code;nom;colzone
0;0752606A;GEORGES MELIES;#ffffb3
1;0752545J;BUFFON;#ccebc5
2;0752538B;AUGUSTE RODIN;#ccebc5
3;0752555V;HENRI BERGSON;#fccde5
4;0752252R;HECTOR BERLIOZ;#b3de69
5;0752251P;LOUISE MICHEL;#bebada
6;0752194C;JANSON DE SAILLY / EUGENE DELACROIX;#ccebc5
7;0752107H;PIERRE DE RONSARD;#ffffb3
8;0752557X;MAURICE RAVEL;#fb8072
9;0752547L;CLAUDE BERNARD;#fdb462
10;0753937X;EVARISTE GALOIS;#80b1d3
11;0753345D;EDMOND MICHELET;#fccde5
12;0753936W;GERMAINE TILLION;#b3de69
13;0753518S;GUSTAVE FLAUBERT;#80b1d3
14;0753047E;LA GRANGE AUX BELLES;#fccde5
15;0753046D;FLORA TRISTAN;#b3de69
16;0750552T;FRANCOISE DOLTO;#80b1d3
17;0752958H;BORIS VIAN;#b3de69
18;0752696Y;LEON GAMBETTA;#bebada
19;0752957G;GEORGES BRAQUE;#80b1d3
20;0752829T;BERNARD PALISSY;#80b1d3
21;0752546K;CAMILLE SEE;#b3de69
22;0752695X;GUILLAUME BUDE;#d9d9d9
23;0752694W;CAMILLE CLAUDEL;#ffffb3
24;0752693V;FRANCOIS COUPERIN;#ccebc5
25;0752544H;FRANCOIS VILLON;#80b1d3
26;0752540D;GABRIEL FAURE;#bc80bd
27;0752543G;PAUL BERT;#fb8072
28;0752542F;JEAN FRANCOIS OEBEN;#80b1d3
29;0752539C;CLAUDE MONET;#fdb462
30;0752556W;HELENE BOUCHER;#d9d9d9
31;0752537A;PAUL VALERY;#bc80bd
32;0752536Z;VOLTAIRE;#bebada
33;0752534X;LAMARTINE;#ffed6f
34;0754528P;PILATRE DE ROZIER;#ffffb3
35;0752533W;JULES FERRY;#ccebc5
36;0752527P;MONTAIGNE;#ffffb3
37;0752532V;JACQUES DECOUR;#fdb462
38;0752531U;LAVOISIER;#fb8072
39;0752530T;OCTAVE GREARD;#ffed6f
40;0752529S;CHAPTAL;#ccebc5
41;0752528R;VICTOR DURUY;#bc80bd
42;0752526N;HENRI IV;#ffffb3
43;0752525M;CHARLEMAGNE;#b3de69
44;0752524L;VICTOR HUGO;#fdb462
