Commune d'implantation (Par année);Commune d'implantation Lib L (Par année);Ville;Commune d'implantation;Dept.;Dénomination principale (Par année);Dénomination principale;Département;Groupe;Groupe-g;Lib Département;Nom du collège;Nombre admis avec mention;Nombre d'admis sans Mention;Nombre d'inscrits;Nombre de présents;Nombre total d'admis;Note /20;Note-g;Nombre d'enregistrements;Numéro d'établissement (Par année);Numéro d'établissement;Occurrence;Occurrences;Patronyme (Par année);Patronyme;Points;REP;Session;Taux de mention;Taux de réussite;Taux de réussite-g;Tri (Par année);Tri;URL;Validation (Par année);Validation;Zone;Secteur d'enseignement-g;Secteur d'enseignement
75056;PARIS;PARIS;75056;75;COLLEGE;COLLEGE;PARIS (75);-;A;Paris;COLLEGE RAYMOND QUENEAU;79;28;123;123;107;15,1;16,3;1;0752186U;0752186U;1;3;RAYMOND QUENEAU;RAYMOND QUENEAU;151;Non;2016;64,2%;87,0%;0,87;6360;6450;http://www.letudiant.fr/etudes/annuaire-des-colleges/college-raymond-queneau-8564.html;Oui;Oui;Îles de France;PUBLIC;PUBLIC
75056;PARIS;PARIS;75056;75;COLLEGE;COLLEGE;PARIS (75);-;A;Paris;COLLEGE ANNE FRANK;68;26;106;106;94;15,3;15,6;1;0750608D;0750608D;1;3;ANNE FRANK;ANNE FRANK;153;Non;2016;64,2%;88,7%;0,887;6335;6425;http://www.letudiant.fr/etudes/annuaire-des-colleges/college-anne-frank-8465.html;Oui;Oui;Îles de France;PUBLIC;PUBLIC
75056;PARIS;PARIS;75056;75;COLLEGE;COLLEGE;PARIS (75);-;A;Paris;COLLEGE VICTOR HUGO;79;20;114;114;99;15,6;15,7;1;0752524L;0752524L;1;3;VICTOR HUGO;VICTOR HUGO;156;Non;2016;69,3%;86,8%;0,868;6385;6476;http://www.letudiant.fr/etudes/annuaire-des-colleges/college-victor-hugo-8589.html;Oui;Oui;Îles de France;PUBLIC;PUBLIC
75056;PARIS;PARIS;75056;75;COLLEGE;COLLEGE;PARIS (75);-;A;Paris;COLLEGE CHAPTAL;92;34;144;140;126;15,6;16;1;0752529S;0752529S;1;3;CHAPTAL;CHAPTAL;156;Non;2016;65,7%;90,0%;0,9;6390;6481;http://www.letudiant.fr/etudes/annuaire-des-colleges/college-chaptal-8594.html;Oui;Oui;Îles de France;PUBLIC;PUBLIC
75056;PARIS;PARIS;75056;75;COLLEGE;COLLEGE;PARIS (75);-;A;Paris;COLLEGE GEORGES COURTELINE;98;36;146;146;134;15,9;16,1;1;0750444A;0750444A;1;3;GEORGES COURTELINE;GEORGES COURTELINE;159;Non;2016;67,1%;91,8%;0,918;6319;6409;http://www.letudiant.fr/etudes/annuaire-des-colleges/college-georges-courteline-8445.html;Oui;Oui;Îles de France;PUBLIC;PUBLIC
75056;PARIS;PARIS;75056;75;COLLEGE;COLLEGE;PARIS (75);-;A;Paris;COLLEGE FRANCOIS COUPERIN;84;32;126;125;116;16;16,4;1;0752693V;0752693V;1;3;FRANCOIS COUPERIN;FRANCOIS COUPERIN;160;Non;2016;67,2%;92,8%;0,928;6418;6509;http://www.letudiant.fr/etudes/annuaire-des-colleges/college-francois-couperin-8624.html;Oui;Oui;Îles de France;PUBLIC;PUBLIC
75056;PARIS;PARIS;75056;75;COLLEGE;COLLEGE;PARIS (75);-;A;Paris;COLLEGE CARNOT;113;38;167;165;151;16;15,9;1;0752552S;0752552S;1;3;CARNOT;CARNOT;160;Non;2016;68,5%;91,5%;0,915;6411;6502;http://www.letudiant.fr/etudes/annuaire-des-colleges/college-carnot-8615.html;Oui;Oui;Îles de France;PUBLIC;PUBLIC
75056;PARIS;PARIS;75056;75;COLLEGE;COLLEGE;PARIS (75);-;A;Paris;COLLEGE BUFFON;122;38;179;176;160;16;16,4;1;0752545J;0752545J;1;3;BUFFON;BUFFON;160;Non;2016;69,3%;90,9%;0,909;6404;6495;http://www.letudiant.fr/etudes/annuaire-des-colleges/college-buffon-8608.html;Oui;Oui;Îles de France;PUBLIC;PUBLIC
75056;PARIS;PARIS;75056;75;COLLEGE;COLLEGE;PARIS (75);-;A;Paris;COLLEGE LAVOISIER;64;22;93;93;86;16,1;17,7;1;0752531U;0752531U;1;3;LAVOISIER;LAVOISIER;161;Non;2016;68,8%;92,5%;0,925;6392;6483;http://www.letudiant.fr/etudes/annuaire-des-colleges/college-lavoisier-8596.html;Oui;Oui;Îles de France;PUBLIC;PUBLIC
75056;PARIS;PARIS;75056;75;COLLEGE;COLLEGE;PARIS (75);-;A;Paris;COLLEGE JANSON DE SAILLY;165;48;233;233;213;16,2;17;1;0752548M;0752548M;1;3;JANSON DE SAILLY;JANSON DE SAILLY;162;Non;2016;70,8%;91,4%;0,914;6407;6498;http://www.letudiant.fr/etudes/annuaire-des-colleges/college-janson-de-sailly-8611.html;Oui;Oui;Îles de France;PUBLIC;PUBLIC
