0.269119;Commune d'implantation (Par année);Commune d'implantation Lib L (Par année);Ville;Commune d'implantation;Dept.;Dénomination principale (Par année);Dénomination principale;Département;F24;Groupe;Groupe-g;Lib Département;Nom du collège;Nombre admis avec mention;Nombre d'admis Mention AB;Nombre d'admis Mention B;Nombre d'admis Mention TB;Nombre d'admis sans Mention;Nombre d'inscrits;Nombre de présents;Nombre total d'admis;Note /20;Note-g;Nombre d'enregistrements;Numéro d'établissement (Par année);Numéro d'établissement;Occurrence;Occurrences;Patronyme (Par année);Patronyme;Points;REP;Session;Taux de mention;Taux de réussite;Taux de réussite-g;Tri (Par année);Tri;URL;Validation;Zone;Secteur d'enseignement-g;Secteur d'enseignement
;75006;PARIS;PARIS;75006;75;COLLEGE;COLLEGE;PARIS (75);;-;A;Paris;COLLEGE MONTAIGNE;125;10;18;97;9;140;140;134;18,5;17,5;1;0752527P;0752527P;1;3;MONTAIGNE;MONTAIGNE;185;Non;2017;89,30%;95,70%;0,957;3668;3668;https://www.letudiant.fr/etudes/annuaire-des-colleges/college-montaigne-8592.html;Oui;Îles de France;PUBLIC;PUBLIC
;75003;PARIS;PARIS;75003;75;COLLEGE;COLLEGE;PARIS (75);;-;A;Paris;COLLEGE PIERRE-JEAN DE BERANGER;79;10;20;49;7;87;87;86;19;17,4;1;0750387N;0750387N;1;3;PIERRE-JEAN DE BERANGER;PIERRE-JEAN DE BERANGER;190;Non;2017;90,80%;98,90%;0,989;3614;3614;https://www.letudiant.fr/etudes/annuaire-des-colleges/college-pierre-jean-de-beranger-8439.html;Oui;Îles de France;PUBLIC;PUBLIC
;75005;PARIS;PARIS;75005;75;COLLEGE;COLLEGE;PARIS (75);;-;A;Paris;COLLEGE RAYMOND QUENEAU;96;11;27;58;19;125;125;115;16,9;16,5;1;0752186U;0752186U;1;3;RAYMOND QUENEAU;RAYMOND QUENEAU;169;Non;2017;76,80%;92,00%;0,92;3645;3645;https://www.letudiant.fr/etudes/annuaire-des-colleges/college-raymond-queneau-8564.html;Oui;Îles de France;PUBLIC;PUBLIC
;75010;PARIS;PARIS;75010;75;COLLEGE;COLLEGE;PARIS (75);;-;A;Paris;COLLEGE FRANCOISE SELIGMANN;54;12;18;24;13;74;74;67;16,4;16,5;1;0755778Y;0755778Y;1;2;FRANCOISE SELIGMANN;FRANCOISE SELIGMANN;164;Non;2017;73,00%;90,50%;0,905;3724;3724;https://www.letudiant.fr/etudes/annuaire-des-colleges/college-francoise-seligmann-college-francoise-seligmann-12797.html;Oui;Îles de France;PUBLIC;PUBLIC
;75005;PARIS;PARIS;75005;75;COLLEGE;COLLEGE;PARIS (75);;-;A;Paris;COLLEGE HENRI IV;160;12;24;124;6;171;171;166;19,1;18,6;1;0752526N;0752526N;1;3;HENRI IV;HENRI IV;191;Non;2017;93,60%;97,10%;0,971;3667;3667;https://www.letudiant.fr/etudes/annuaire-des-colleges/college-henri-iv-8591.html;Oui;Îles de France;PUBLIC;PUBLIC
;75014;PARIS;PARIS;75014;75;COLLEGE;COLLEGE;PARIS (75);;-;A;Paris;COLLEGE SAINT-EXUPERY;73;12;29;32;10;83;83;83;18,8;16,3;1;0754253R;0754253R;1;3;SAINT-EXUPERY;SAINT-EXUPERY;188;Non;2017;88,00%;100,00%;1;3713;3713;https://www.letudiant.fr/etudes/annuaire-des-colleges/college-saint-exupery-8790.html;Oui;Îles de France;PUBLIC;PUBLIC
;75008;PARIS;PARIS;75008;75;COLLEGE;COLLEGE;PARIS (75);;-;A;Paris;COLLEGE CONDORCET;169;12;34;123;7;181;181;176;19,1;18,4;1;0751791P;0751791P;1;3;CONDORCET;CONDORCET;191;Non;2017;93,40%;97,20%;0,972;3641;3641;https://www.letudiant.fr/etudes/annuaire-des-colleges/college-condorcet-8555.html;Oui;Îles de France;PUBLIC;PUBLIC
;75015;PARIS;PARIS;75015;75;COLLEGE;COLLEGE;PARIS (75);;-;A;Paris;COLLEGE CLAUDE DEBUSSY;101;13;25;63;4;106;105;105;19,6;16,8;1;0752317L;0752317L;1;3;CLAUDE DEBUSSY;CLAUDE DEBUSSY;196;Non;2017;96,20%;100,00%;1;3659;3659;https://www.letudiant.fr/etudes/annuaire-des-colleges/college-claude-debussy-8579.html;Oui;Îles de France;PUBLIC;PUBLIC
;75007;PARIS;PARIS;75007;75;COLLEGE;COLLEGE;PARIS (75);;-;A;Paris;COLLEGE VICTOR DURUY;141;14;40;87;19;166;165;160;18,3;17,1;1;0752528R;0752528R;1;3;VICTOR DURUY;VICTOR DURUY;183;Non;2017;85,50%;97,00%;0,97;3669;3669;https://www.letudiant.fr/etudes/annuaire-des-colleges/college-victor-duruy-8593.html;Oui;Îles de France;PUBLIC;PUBLIC
;75002;PARIS;PARIS;75002;75;COLLEGE;COLLEGE;PARIS (75);;-;A;Paris;COLLEGE CESAR FRANCK;61;15;15;31;11;81;81;72;16,4;16,3;1;0752248L;0752248L;1;3;CESAR FRANCK;CESAR FRANCK;164;Non;2017;75,30%;88,90%;0,889;3653;3653;https://www.letudiant.fr/etudes/annuaire-des-colleges/college-cesar-franck-8573.html;Oui;Îles de France;PUBLIC;PUBLIC
