Session;Numero d'etablissement;Type d'etablissement;Patronyme;Secteur d'enseignement;Commune;Libellé commune;Code département;Libellé département;Code académie;Libellé académie;Code région;Libellé région;Inscrits;Presents;Admis;Admis sans mention;Nombre_d_admis_Mention_AB;Admis Mention bien;Admis Mention très bien;Taux de réussite
2021;0750478M;COLLEGE;JEAN-BAPTISTE CLEMENT;PUBLIC;75120;PARIS 20E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;98;97;82;18;18;16;30;84,5%
2021;0750550R;COLLEGE;LUCIE FAURE;PUBLIC;75120;PARIS 20E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;97;97;82;25;14;23;20;84,5%
2021;0750552T;COLLEGE;FRANCOISE DOLTO;PUBLIC;75120;PARIS 20E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;115;114;93;23;19;13;38;81,6%
2021;0750608D;COLLEGE;ANNE FRANK;PUBLIC;75111;PARIS 11E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;108;108;99;8;12;25;54;91,7%
2021;0751793S;COLLEGE;MAURICE UTRILLO;PUBLIC;75118;PARIS 18E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;91;91;77;23;21;15;18;84,6%
2021;0752107H;COLLEGE;PIERRE DE RONSARD;PUBLIC;75117;PARIS 17E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;179;179;159;16;21;29;93;88,8%
2021;0752187V;COLLEGE;JACQUES PREVERT;PUBLIC;75106;PARIS  6E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;98;97;92;6;8;28;50;94,8%
2021;0752196E;COLLEGE;MARX DORMOY;PUBLIC;75118;PARIS 18E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;103;103;82;20;26;12;24;79,6%
2021;0752316K;COLLEGE;GEORGE SAND;PUBLIC;75113;PARIS 13E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;111;109;99;22;23;16;38;90,8%
2021;0752317L;COLLEGE;CLAUDE DEBUSSY;PUBLIC;75115;PARIS 15E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;117;116;90;12;22;11;45;77,6%
2021;0752531U;COLLEGE;LAVOISIER;PUBLIC;75105;PARIS  5E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;117;117;115;6;13;19;77;98,3%
2021;0752534X;COLLEGE;LAMARTINE;PUBLIC;75109;PARIS  9E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;99;99;92;12;7;15;58;92,9%
2021;0752545J;COLLEGE;BUFFON;PUBLIC;75115;PARIS 15E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;171;169;148;13;20;33;82;87,6%
2021;0752546K;COLLEGE;CAMILLE SEE;PUBLIC;75115;PARIS 15E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;159;159;143;13;29;29;72;89,9%
2021;0752556W;COLLEGE;HELENE BOUCHER;PUBLIC;75120;PARIS 20E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;111;111;90;19;16;19;36;81,1%
2021;0752557X;COLLEGE;MAURICE RAVEL;PUBLIC;75120;PARIS 20E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;82;82;72;7;18;15;32;87,8%
2021;0752694W;COLLEGE;CAMILLE CLAUDEL;PUBLIC;75113;PARIS 13E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;93;93;65;13;19;16;17;69,9%
2021;0752829T;COLLEGE;BERNARD PALISSY;PUBLIC;75110;PARIS 10E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;78;78;69;10;16;15;28;88,5%
2021;0753047E;COLLEGE;LA GRANGE AUX BELLES;PUBLIC;75110;PARIS 10E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;70;70;58;15;12;15;16;82,9%
2021;0753938Y;COLLEGE;GEORGES ROUAULT;PUBLIC;75119;PARIS 19E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;114;114;105;24;22;24;35;92,1%
2021;0753939Z;COLLEGE;JEAN PERRIN;PUBLIC;75120;PARIS 20E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;91;91;81;25;13;23;20;89,0%
2021;0754305X;COLLEGE;ANDRE CITROEN;PUBLIC;75115;PARIS 15E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;149;144;131;20;27;23;61;91,0%
2021;0755433Y;COLLEGE;AIMÉ CÉSAIRE;PUBLIC;75118;PARIS 18E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;98;98;57;22;20;9;6;58,2%
2021;0755779Z;COLLEGE;LA ROSE BLANCHE;PUBLIC;75117;PARIS 17E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;138;136;107;34;18;30;25;78,7%
2021;0755780A;COLLEGE;COLLEGE LA ROSE BLANCHE;PUBLIC;75117;PARIS 17E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;8;8;8;2;5;1;0;100,0%
2021;0750465Y;COLLEGE;LUCIE ET RAYMOND AUBRAC;PUBLIC;75111;PARIS 11E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;96;96;83;16;15;20;32;86,5%
2021;0750507U;COLLEGE;GEORGES BRASSENS;PUBLIC;75119;PARIS 19E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;158;154;127;21;26;30;50;82,5%
2021;0750525N;COLLEGE;MOULIN DES PRES;PUBLIC;75113;PARIS 13E  ARRONDISSEMENT;075;PARIS;01;PARIS;10;ILE-DE-FRANCE;111;110;92;14;12;24;42;83,6%
