nom_paris;uai;nom_educnat;score
AIME CESAIRE;0755433Y;COLLEGE AIME CESAIRE;90
ALAIN FOURNIER;0750607C;COLLEGE ALAIN FOURNIER;90
ALBERTO GIACOMETTI;0750445B;COLLEGE ALBERTO GIACOMETTI;95
ALPHONSE DAUDET;0751705W;COLLEGE ALPHONSE DAUDET;90
AMEDEO MODIGLIANI;0752318M;COLLEGE MODIGLIANI;74
ANDRE CITROEN;0754305X;COLLEGE ANDRE CITROEN;90
ANDRE MALRAUX;0752387M;COLLEGE ANDRE MALRAUX;90
ANNE FRANK;0750608D;COLLEGE ANNE FRANK;90
ANTOINE COYSEVOX;0752319N;COLLEGE ANTOINE COYSEVOX;48
AUGUSTE RODIN;0752538B;COLLEGE RODIN;62
BEAUMARCHAIS;0750362L;COLLEGE BEAUMARCHAIS;90
BERNARD PALISSY;0752829T;COLLEGE BERNARD PALISSY;90
BORIS VIAN;0752958H;COLLEGE BORIS VIAN;90
BUFFON;0752545J;COLLEGE BUFFON;90
CAMILLE CLAUDEL;0752694W;COLLEGE CAMILLE CLAUDEL;90
CAMILLE SEE;0752546K;COLLEGE CAMILLE SEE;90
CARNOT;0752552S;COLLEGE CARNOT;90
CESAR FRANCK;0752248L;COLLEGE CESAR FRANCK;90
CHAPTAL;0752529S;COLLEGE CHAPTAL;90
CHARLEMAGNE;0752525M;COLLEGE CHARLEMAGNE;90
CHARLES PEGUY;0752895P;COLLEGE PRIVE CHARLES PEGUY;90
CLAUDE BERNARD;0752547L;COLLEGE CLAUDE BERNARD;90
CLAUDE CHAPPE;0750360J;COLLEGE CLAUDE CHAPPE;90
CLAUDE DEBUSSY;0752317L;COLLEGE CLAUDE DEBUSSY;90
CLAUDE MONET;0752539C;COLLEGE CLAUDE MONET;90
COLETTE BESSON;0755241P;COLLEGE COLETTE BESSON;90
CONDORCET;0751791P;COLLEGE CONDORCET;90
DANIEL MAYER;0755030K;COLLEGE DANIEL MAYER;90
EDGAR VARESE;0755095F;COLLEGE EDGAR VARESE;90
EDMOND MICHELET;0753345D;COLLEGE EDMOND MICHELET;90
EDOUARD PAILLERON;0751707Y;COLLEGE EDOUARD PAILLERON;95
ELSA TRIOLET;0752385K;COLLEGE ELSA TRIOLET;90
EVARISTE GALOIS;0753937X;COLLEGE EVARISTE GALOIS;90
FLORA TRISTAN;0753046D;COLLEGE FLORA TRISTAN;90
FRANCOIS COUPERIN;0752693V;COLLEGE FRANCOIS COUPERIN;95
FRANCOIS VILLON;0752544H;COLLEGE FRANCOIS VILLON;90
FRANCOISE DOLTO;0750552T;COLLEGE FRANCOISE DOLTO;90
FRANCOISE SELIGMAN;0755778Y;COLLEGE FRANCOISE SELIGMANN;90
GABRIEL FAURE;0752540D;COLLEGE GABRIEL FAURE;90
GEORGE SAND;0752316K;COLLEGE GEORGE SAND;90
GEORGES BRAQUE;0752957G;COLLEGE GEORGES BRAQUE;90
GEORGES BRASSENS;0750507U;COLLEGE GEORGES BRASSENS;90
GEORGES CLEMENCEAU;0750546L;COLLEGE GEORGES CLEMENCEAU;95
GEORGES COURTELINE;0750444A;COLLEGE GEORGES COURTELINE;95
GEORGES DUHAMEL;0752192A;COLLEGE GEORGES DUHAMEL;90
GEORGES MELIES;0752606A;COLLEGE GEORGES MELIES;90
GEORGES ROUAULT;0753938Y;COLLEGE GEORGES ROUAULT;90
GERARD PHILIPE;0752195D;COLLEGE GERARD PHILIPE;90
GERMAINE TILLION;0753936W;COLLEGE GERMAINE TILLION;90
GUILLAUME APOLLINAIRE;0752190Y;COLLEGE GUILLAUME APOLLINAIRE;95
GUILLAUME BUDE;0752695X;COLLEGE GUILLAUME BUDE;90
GUSTAVE FLAUBERT;0753518S;COLLEGE GUSTAVE FLAUBERT;90
GUY FLAVIEN;0752189X;COLLEGE GUY FLAVIEN;90
HECTOR BERLIOZ;0752252R;COLLEGE HECTOR BERLIOZ;90
HELENE BOUCHER;0752556W;COLLEGE HELENE BOUCHER;90
HENRI BERGSON;0752555V;COLLEGE HENRI BERGSON;90
HENRI IV;0752526N;COLLEGE HENRI IV;90
HENRI MATISSE;0750591K;COLLEGE HENRI MATISSE;90
HONORE DE BALZAC;0752553T;COLLEGE HONORE DE BALZAC;90
JACQUES DECOUR;0752532V;COLLEGE JACQUES DECOUR;90
JACQUES PREVERT;0752187V;COLLEGE JACQUES PREVERT;90
JANSON DE SAILLY;0752548M;COLLEGE JANSON DE SAILLY;90
JEAN DE LA FONTAINE;0752550P;COLLEGE JEAN DE LA FONTAINE;95
JEAN FRANCOIS OEBEN;0752542F;COLLEGE JEAN-FRANCOIS OEBEN;95
JEAN MOULIN;0750611G;COLLEGE JEAN MOULIN;90
JEAN PERRIN;0753939Z;COLLEGE JEAN PERRIN;90
JEAN-BAPTISTE CLEMENT;0750478M;COLLEGE JEAN-BAPTISTE CLEMENT;95
JEAN-BAPTISTE POQUELIN;0751703U;COLLEGE JEAN-BAPTISTE POQUELIN;95
JEAN-BAPTISTE SAY;0752549N;COLLEGE JEAN-BAPTISTE SAY;95
JULES FERRY;0752533W;COLLEGE JULES FERRY;90
JULES ROMAINS;0752249M;COLLEGE JULES ROMAINS;90
JULES VERNE;0750610F;COLLEGE JULES VERNE;90
LA GRANGE AUX BELLES;0753047E;COLLEGE LA GRANGE AUX BELLES;95
LAMARTINE;0752534X;COLLEGE LAMARTINE;90
LAVOISIER;0752531U;COLLEGE LAVOISIER;90
LEON GAMBETTA;0752696Y;COLLEGE LEON GAMBETTA;90
LOUISE MICHEL;0752251P;COLLEGE LOUISE MICHEL;90
LUCIE ET RAYMOND AUBRAC;0750465Y;COLLEGE LUCIE ET RAYMOND AUBRAC;95
LUCIE FAURE;0750550R;COLLEGE LUCIE FAURE;90
MADAME DE STAEL;0751563S;COLLEGE DE STAEL;90
MARIE CURIE;0754706H;COLLEGE MARIE CURIE;90
MARX DORMOY;0752196E;COLLEGE MARX DORMOY;90
MAURICE RAVEL;0752557X;COLLEGE MAURICE RAVEL;90
MAURICE UTRILLO;0751793S;COLLEGE MAURICE UTRILLO;90
MOLIERE;0752551R;COLLEGE MOLIERE;90
MONTAIGNE;0752527P;COLLEGE MONTAIGNE;90
MONTGOLFIER;0752523K;COLLEGE MONTGOLFIER;90
MOULIN DES PRES;0750525N;COLLEGE MOULIN DES PRES;90
MOZART;0750484U;COLLEGE W,A, MOZART;90
OCTAVE GREARD;0752530T;COLLEGE OCTAVE GREARD;90
PAUL BERT;0752543G;COLLEGE PAUL BERT;90
PAUL GAUGUIN;0752250N;COLLEGE PAUL GAUGUIN;90
PAUL VALERY;0752537A;COLLEGE PAUL VALERY;90
PAUL VERLAINE;0750609E;COLLEGE PAUL VERLAINE;90
PIERRE ALVISET;0751790N;COLLEGE PIERRE ALVISET;90
PIERRE DE RONSARD;0752107H;COLLEGE PIERRE DE RONSARD;95
PIERRE JEAN DE BERANGER;0750387N;COLLEGE PIERRE-JEAN DE BERANGER;95
PIERRE MENDES FRANCE;0752198G;COLLEGE PIERRE MENDES FRANCE;95
PILATRE DE ROZIER;0754528P;COLLEGE PILATRE DE ROZIER;95
RAYMOND QUENEAU;0752186U;COLLEGE RAYMOND QUENEAU;90
ROBERT DOISNEAU;0754355B;COLLEGE ROBERT DOISNEAU;90
ROGNONI;0750407K;COLLEGE ROGNONI;90
ROLAND DORGELES;0750429J;COLLEGE ROLAND DORGELES;90
ROSE BLANCHE;0755779Z;COLLEGE LA ROSE BLANCHE;90
SONIA DELAUNAY;0750575T;COLLEGE SONIA DELAUNAY;90
ST EXUPERY;0754253R;COLLEGE SAINT-EXUPERY;90
STEPHANE MALLARME;0752554U;COLLEGE STEPHANE MALLARME;95
SUZANNE LACORE;0755747P;COLLEGE SUZANNE LACORE;90
THOMAS MANN;0755000C;COLLEGE THOMAS MANN;90
VALMY;0750584C;COLLEGE VALMY;90
VICTOR DURUY;0752528R;COLLEGE VICTOR DURUY;90
VICTOR HUGO;0752524L;COLLEGE VICTOR HUGO;90
VOLTAIRE;0752536Z;COLLEGE VOLTAIRE;90
YVONNE LE TAC;0752108J;COLLEGE YVONNE LE TAC;90
